material_id,formula_pretty,band_gap,MagpieData mean MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,max ionic char,avg ionic char,band center
mp-1030655,NaMg6GaO8,4.2373,73.75,85.0,13.28125,2.3825000000000003,2.51,1.0574999999999999,103.875,100.0,37.875,1.9375,1.0,0.1171875,2.0625,4.0,1.9375,0.625,10.0,1.171875,0.0,0.0,0.0,1.9375,2.0625,0.625,0.0,0.4189189189189189,0.44594594594594594,0.13513513513513514,0.0,0.792997622442975,0.17007285487821344,5.2070082437431715
mp-1191101,KMgBO3,4.6163,67.33333333333333,84.0,21.444444444444446,2.415,2.62,1.0250000000000001,104.33333333333333,137.0,45.111111111111114,1.8333333333333333,1.0,0.27777777777777785,2.1666666666666665,4.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.1666666666666665,0.0,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.8202341305415322,0.1708754115012938,5.071349657212045
mp-772090,Li4Ti9O20,3.13,64.57575757575758,86.0,27.180899908172638,2.6236363636363635,2.46,0.9895316804407714,99.15151515151516,94.0,40.18365472910927,1.878787878787879,1.0,0.2130394857667584,2.4242424242424243,4.0,1.9100091827364556,0.5454545454545454,2.0,0.793388429752066,0.0,0.0,0.0,1.878787878787879,2.4242424242424243,0.5454545454545454,0.0,0.3875,0.5,0.11249999999999999,0.0,0.7797297329475583,0.1580286181754264,5.450717040080224
mp-558986,CaMn6SiO12,0.5927,72.05,80.0,18.535,2.6740000000000004,2.44,0.9192,95.65,110.0,35.58,2.0,0.0,0.0,2.5,4.0,1.8,1.5,5.0,2.1,0.0,0.0,0.0,2.0,2.5,1.5,0.0,0.3333333333333333,0.4166666666666667,0.25,0.0,0.7742664595807831,0.1449547990203879,5.698452292931052
mp-787524,Li4Fe(WO4)3,2.2436,62.8,86.0,29.04,2.7055,2.46,0.8814,96.1,96.0,36.12,1.8,1.0,0.31999999999999995,2.4,4.0,1.9200000000000004,0.9,6.0,1.44,2.1,14.0,3.5700000000000003,1.8,2.4,0.9,2.1,0.25,0.3333333333333333,0.125,0.2916666666666667,0.7797297329475583,0.14416427110334365,5.607228488743169
mp-1229315,Ce2Gd2O7,1.432099999999999,63.0,72.0,30.545454545454547,2.610909090909091,2.32,1.0552066115702479,114.72727272727273,138.0,62.01652892561984,2.0,0.0,0.0,2.5454545454545454,4.0,1.8512396694214877,0.36363636363636365,1.0,0.4628099173553719,1.4545454545454546,7.0,2.0165289256198347,2.0,2.5454545454545454,0.36363636363636365,1.4545454545454546,0.3142857142857143,0.4,0.05714285714285715,0.2285714285714286,0.7396165690769709,0.16832702164466856,5.5070097966620954
mp-504969,Ni3(AsO4)2,2.1524,80.53846153846153,26.0,9.017751479289943,2.893076923076923,1.53,0.6731360946745562,87.53846153846153,58.0,26.508875739644967,2.0,0.0,0.0,2.923076923076923,4.0,1.3491124260355032,3.3846153846153846,10.0,4.16568047337278,0.0,0.0,0.0,2.0,2.923076923076923,3.3846153846153846,0.0,0.24074074074074073,0.3518518518518518,0.4074074074074074,0.0,0.44301947290604926,0.09457045399693786,6.309478037390085
mp-12944,HoAsO4,3.609,77.5,54.0,14.833333333333334,2.861666666666667,2.21,0.771111111111111,95.83333333333333,126.0,39.77777777777778,2.0,0.0,0.0,3.1666666666666665,4.0,1.1111111111111112,1.6666666666666667,10.0,2.777777777777778,1.8333333333333333,11.0,3.0555555555555554,2.0,3.1666666666666665,1.6666666666666667,1.8333333333333333,0.23076923076923078,0.3653846153846154,0.19230769230769232,0.21153846153846154,0.7050722889619607,0.12035185567248519,6.187953045119773
mp-1203128,Fe(SiO3)2,0.723,81.44444444444444,32.0,7.407407407407408,2.9188888888888886,1.6099999999999999,0.6948148148148149,83.33333333333333,66.0,23.11111111111111,2.0,0.0,0.0,3.111111111111111,4.0,1.1851851851851853,0.6666666666666666,6.0,1.1851851851851851,0.0,0.0,0.0,2.0,3.111111111111111,0.6666666666666666,0.0,0.34615384615384615,0.5384615384615384,0.11538461538461538,0.0,0.47692216400686216,0.10162119398009893,6.352585282670467
mp-761093,Na3Fe5O8,1.156299999999999,61.0625,85.0,25.9375,2.46625,2.51,0.9737499999999999,105.375,100.0,39.375,1.8125,1.0,0.3046875,2.0,4.0,2.0,1.875,6.0,2.578125,0.0,0.0,0.0,1.8125,2.0,1.875,0.0,0.31868131868131866,0.3516483516483517,0.32967032967032966,0.0,0.792997622442975,0.15960364164036805,5.164469927197463
mp-1040836,LaCrCoO6,0.9386999999999991,71.33333333333333,74.0,20.88888888888889,2.808888888888889,2.34,0.8414814814814814,96.44444444444444,141.0,40.592592592592595,1.8888888888888888,1.0,0.1975308641975309,2.6666666666666665,4.0,1.7777777777777777,1.4444444444444444,7.0,2.0246913580246915,0.0,0.0,0.0,1.8888888888888888,2.6666666666666665,1.4444444444444444,0.0,0.3148148148148148,0.4444444444444444,0.24074074074074073,0.0,0.7456133690005962,0.13233985823474156,5.9146858827941795
mp-774880,Li6V3Sb3O16,0.6381,63.964285714285715,86.0,30.83418367346939,2.57,2.46,0.9942857142857144,96.42857142857143,87.0,34.775510204081634,1.7857142857142858,1.0,0.33673469387755095,2.607142857142857,4.0,1.6760204081632655,1.3928571428571428,10.0,2.188775510204082,0.0,0.0,0.0,1.7857142857142858,2.607142857142857,1.3928571428571428,0.0,0.308641975308642,0.4506172839506173,0.24074074074074073,0.0,0.7797297329475583,0.1616756330873,5.461841813498149
mp-18601,DyMn2O5,1.0799,71.25,56.0,19.6875,2.69,2.2199999999999998,0.9375,100.0,126.0,42.5,2.0,0.0,0.0,2.5,4.0,1.875,1.25,5.0,1.875,1.25,10.0,2.1875,2.0,2.5,1.25,1.25,0.2857142857142857,0.35714285714285715,0.17857142857142858,0.17857142857142858,0.7083205926780534,0.1484556950433112,5.682502533253304
mp-1344776,Mg2SbWO6,1.673,79.4,36.0,10.239999999999998,2.7670000000000003,2.13,0.8076000000000001,97.9,96.0,38.28,2.0,0.0,0.0,2.7,4.0,1.6199999999999999,1.4,10.0,2.2399999999999998,1.4,14.0,2.5199999999999996,2.0,2.7,1.4,1.4,0.26666666666666666,0.36000000000000004,0.18666666666666665,0.18666666666666665,0.6783286799695526,0.12717482702995292,5.968457192037853
